auction_date_transformed,auction_id,bstock_category_name,bid_date,bid_id,bidder_id,bid_amount_transformed
2022-09-23,1651871,"Apparel, Footwear & Accessories","2022-09-21 01:23:33.000000 UTC",17895824,620412efc8ce885c4ac7395f,1005
2022-09-23,1651871,"Apparel, Footwear & Accessories","2022-09-21 03:04:53.000000 UTC",17896242,60130b4ac8ce886da943b405,1009
2022-09-23,1651871,"Apparel, Footwear & Accessories","2022-09-21 15:15:39.000000 UTC",17897815,620412efc8ce885c4ac7395f,1250
2022-09-23,1651871,"Apparel, Footwear & Accessories","2022-09-22 20:44:03.000000 UTC",17912323,63194348feb3d7000db457d3,1400
2022-09-23,1651871,"Apparel, Footwear & Accessories","2022-09-22 03:26:56.000000 UTC",17905652,5f707ca6c8ce880634eaa855,1500
2022-09-23,1651871,"Apparel, Footwear & Accessories","2022-09-23 14:13:48.000000 UTC",17916191,63194348feb3d7000db457d3,1500
2022-09-23,1651871,"Apparel, Footwear & Accessories","2022-09-23 15:52:37.000000 UTC",17917170,631d23eafeb3d7000c99ed1a,1600
2022-09-23,1651871,"Apparel, Footwear & Accessories","2022-09-23 17:08:43.000000 UTC",17918820,62e329abff03c2000d83079d,1777
2022-09-23,1651871,"Apparel, Footwear & Accessories","2022-09-23 16:43:05.000000 UTC",17917972,60130b4ac8ce886da943b405,1800
2022-09-23,1651871,"Apparel, Footwear & Accessories","2022-09-23 17:08:52.000000 UTC",17918823,62e329abff03c2000d83079d,1888
2022-09-23,1651871,"Apparel, Footwear & Accessories","2022-09-23 17:15:50.000000 UTC",17919071,60130b4ac8ce886da943b405,1900
2022-09-23,1651871,"Apparel, Footwear & Accessories","2022-09-23 17:19:52.000000 UTC",17919200,60130b4ac8ce886da943b405,1950
2022-09-23,1651871,"Apparel, Footwear & Accessories","2022-09-23 17:20:14.000000 UTC",17919211,60130b4ac8ce886da943b405,2100
2022-09-23,1651871,"Apparel, Footwear & Accessories","2022-09-23 17:16:03.000000 UTC",17919075,62e329abff03c2000d83079d,2111
2022-09-23,1651871,"Apparel, Footwear & Accessories","2022-09-23 17:20:31.000000 UTC",17919219,60130b4ac8ce886da943b405,2200
2022-09-23,1651871,"Apparel, Footwear & Accessories","2022-09-23 17:20:44.000000 UTC",17919233,62e329abff03c2000d83079d,2222
2022-09-23,1651871,"Apparel, Footwear & Accessories","2022-09-23 17:23:14.000000 UTC",17919316,62e329abff03c2000d83079d,2444
2022-09-23,1651871,"Apparel, Footwear & Accessories","2022-09-23 17:22:57.000000 UTC",17919303,60130b4ac8ce886da943b405,2600
2022-09-23,1651871,"Apparel, Footwear & Accessories","2022-09-23 17:25:48.000000 UTC",17919404,60130b4ac8ce886da943b405,2800
2022-09-23,1651872,"Apparel, Footwear & Accessories","2022-09-20 20:19:28.000000 UTC",17893637,62e329abff03c2000d83079d,111
2022-09-23,1651872,"Apparel, Footwear & Accessories","2022-09-20 20:39:20.000000 UTC",17894104,5e1a6e11c8ce886c878615dd,200
2022-09-23,1651872,"Apparel, Footwear & Accessories","2022-09-20 23:00:13.000000 UTC",17895115,54c36624421aa90e915b7165,333
2022-09-23,1651872,"Apparel, Footwear & Accessories","2022-09-22 15:04:27.000000 UTC",17907317,6241fe8fff03c2001041ebba,1000
2022-09-23,1651872,"Apparel, Footwear & Accessories","2022-09-21 04:17:07.000000 UTC",17896415,572cfa67421aa90c80a34448,1300
2022-09-23,1651872,"Apparel, Footwear & Accessories","2022-09-23 17:04:22.000000 UTC",17918660,62e329abff03c2000d83079d,1355
2022-09-23,1651872,"Apparel, Footwear & Accessories","2022-09-23 17:04:50.000000 UTC",17918673,62e329abff03c2000d83079d,1444
2022-09-23,1651872,"Apparel, Footwear & Accessories","2022-09-22 15:04:48.000000 UTC",17907320,6241fe8fff03c2001041ebba,1500
2022-09-23,1651872,"Apparel, Footwear & Accessories","2022-09-23 17:04:58.000000 UTC",17918681,62e329abff03c2000d83079d,1555
2022-09-23,1651873,"Apparel, Footwear & Accessories","2022-09-20 20:18:33.000000 UTC",17893620,62e329abff03c2000d83079d,111
2022-09-23,1651873,"Apparel, Footwear & Accessories","2022-09-20 20:46:03.000000 UTC",17894239,5e85a1d7c8ce886c84641f51,700
2022-09-23,1651873,"Apparel, Footwear & Accessories","2022-09-23 09:07:40.000000 UTC",17915330,60b919e6c8ce886da7ddc4a1,825
2022-09-23,1651873,"Apparel, Footwear & Accessories","2022-09-23 15:55:51.000000 UTC",17917224,631d23eafeb3d7000c99ed1a,900
2022-09-23,1651873,"Apparel, Footwear & Accessories","2022-09-22 15:07:02.000000 UTC",17907332,6241fe8fff03c2001041ebba,1000
2022-09-23,1651873,"Apparel, Footwear & Accessories","2022-09-23 15:56:11.000000 UTC",17917227,631d23eafeb3d7000c99ed1a,1000
2022-09-23,1651873,"Apparel, Footwear & Accessories","2022-09-23 15:56:54.000000 UTC",17917240,631d23eafeb3d7000c99ed1a,1100
2022-09-23,1651873,"Apparel, Footwear & Accessories","2022-09-23 16:50:29.000000 UTC",17918191,62e329abff03c2000d83079d,1111
2022-09-30,1657992,"Apparel, Footwear & Accessories","2022-09-27 20:14:24.000000 UTC",17960272,62e329abff03c2000d83079d,222
2022-09-30,1657992,"Apparel, Footwear & Accessories","2022-09-28 02:33:44.000000 UTC",17963429,5e85a1d7c8ce886c84641f51,400
2022-09-30,1657992,"Apparel, Footwear & Accessories","2022-09-30 15:10:23.000000 UTC",17983696,620412efc8ce885c4ac7395f,450
2022-09-30,1657992,"Apparel, Footwear & Accessories","2022-09-30 15:10:32.000000 UTC",17983697,620412efc8ce885c4ac7395f,505
2022-09-30,1657992,"Apparel, Footwear & Accessories","2022-09-30 14:24:18.000000 UTC",17983421,62e329abff03c2000d83079d,555
2022-09-30,1657992,"Apparel, Footwear & Accessories","2022-09-30 15:10:41.000000 UTC",17983698,620412efc8ce885c4ac7395f,555
2022-09-30,1657992,"Apparel, Footwear & Accessories","2022-09-30 15:10:51.000000 UTC",17983699,620412efc8ce885c4ac7395f,605
2022-09-30,1657992,"Apparel, Footwear & Accessories","2022-09-30 17:06:32.000000 UTC",17984288,62e329abff03c2000d83079d,777
2022-09-30,1657992,"Apparel, Footwear & Accessories","2022-09-30 17:14:52.000000 UTC",17984330,62e329abff03c2000d83079d,1111
2022-09-30,1657992,"Apparel, Footwear & Accessories","2022-09-30 17:08:46.000000 UTC",17984295,5d687a77e3d460052b26884d,1155
2022-09-30,1657992,"Apparel, Footwear & Accessories","2022-09-30 17:16:12.000000 UTC",17984342,62e329abff03c2000d83079d,1444
2022-09-30,1657993,"Apparel, Footwear & Accessories","2022-09-27 20:16:43.000000 UTC",17960346,62e329abff03c2000d83079d,111
2022-09-30,1657993,"Apparel, Footwear & Accessories","2022-09-29 18:00:45.000000 UTC",17977040,5f3c2d12c8ce880638857165,161
2022-09-30,1657993,"Apparel, Footwear & Accessories","2022-09-30 14:22:27.000000 UTC",17983394,62e329abff03c2000d83079d,333
2022-09-30,1657993,"Apparel, Footwear & Accessories","2022-09-30 14:22:33.000000 UTC",17983397,62e329abff03c2000d83079d,443
2022-09-30,1657993,"Apparel, Footwear & Accessories","2022-09-30 14:22:39.000000 UTC",17983396,62e329abff03c2000d83079d,555
2022-09-30,1657993,"Apparel, Footwear & Accessories","2022-09-28 02:32:37.000000 UTC",17963420,5e85a1d7c8ce886c84641f51,600
2022-09-30,1657993,"Apparel, Footwear & Accessories","2022-09-30 14:22:46.000000 UTC",17983399,62e329abff03c2000d83079d,777
2022-09-30,1657994,"Apparel, Footwear & Accessories","2022-09-27 20:15:50.000000 UTC",17960314,62e329abff03c2000d83079d,111
2022-09-30,1657994,"Apparel, Footwear & Accessories","2022-09-29 17:15:41.000000 UTC",17976333,54c3586f421aa90e94a53497,150
2022-09-30,1657994,"Apparel, Footwear & Accessories","2022-09-29 19:17:13.000000 UTC",17978403,5f446fe8c8ce880639fd1493,201
2022-09-30,1657994,"Apparel, Footwear & Accessories","2022-09-29 20:19:36.000000 UTC",17979681,54c3586f421aa90e94a53497,255
2022-09-30,1657994,"Apparel, Footwear & Accessories","2022-09-29 21:23:58.000000 UTC",17980572,5f160acfc8ce880634e4c5b6,300
2022-09-30,1657994,"Apparel, Footwear & Accessories","2022-09-29 21:40:47.000000 UTC",17980717,54c3586f421aa90e94a53497,335
2022-09-30,1657994,"Apparel, Footwear & Accessories","2022-09-30 02:16:56.000000 UTC",17981938,572cfa67421aa90c80a34448,450
2022-09-30,1657994,"Apparel, Footwear & Accessories","2022-09-30 03:21:09.000000 UTC",17982122,54c3586f421aa90e94a53497,465
2022-09-30,1657994,"Apparel, Footwear & Accessories","2022-09-30 14:23:16.000000 UTC",17983407,62e329abff03c2000d83079d,555
2022-09-30,1657994,"Apparel, Footwear & Accessories","2022-09-30 03:21:29.000000 UTC",17982123,54c3586f421aa90e94a53497,580
2022-09-30,1657994,"Apparel, Footwear & Accessories","2022-09-30 14:23:23.000000 UTC",17983410,62e329abff03c2000d83079d,777
2022-09-30,1657994,"Apparel, Footwear & Accessories","2022-09-30 16:16:20.000000 UTC",17984005,572cfa67421aa90c80a34448,815
2022-09-30,1657995,"Apparel, Footwear & Accessories","2022-09-27 20:15:11.000000 UTC",17960291,62e329abff03c2000d83079d,111
2022-09-30,1657995,"Apparel, Footwear & Accessories","2022-09-30 02:14:12.000000 UTC",17981926,572cfa67421aa90c80a34448,415
2022-09-30,1657995,"Apparel, Footwear & Accessories","2022-09-29 22:53:45.000000 UTC",17981182,5f47f449c8ce880639fd7a7d,450
2022-09-30,1657995,"Apparel, Footwear & Accessories","2022-09-30 15:25:17.000000 UTC",17983773,5872eb71421aa90ceab0bb2f,550
2022-09-30,1657995,"Apparel, Footwear & Accessories","2022-09-30 14:23:39.000000 UTC",17983415,62e329abff03c2000d83079d,555
2022-09-30,1657995,"Apparel, Footwear & Accessories","2022-09-30 15:25:32.000000 UTC",17983775,5872eb71421aa90ceab0bb2f,600
2022-09-30,1657995,"Apparel, Footwear & Accessories","2022-09-30 16:19:45.000000 UTC",17984015,5872eb71421aa90ceab0bb2f,674
2022-09-30,1657995,"Apparel, Footwear & Accessories","2022-09-30 16:20:30.000000 UTC",17984018,5872eb71421aa90ceab0bb2f,750
2022-09-30,1657995,"Apparel, Footwear & Accessories","2022-09-30 16:21:23.000000 UTC",17984020,5872eb71421aa90ceab0bb2f,800
2022-09-30,1657995,"Apparel, Footwear & Accessories","2022-09-30 16:28:59.000000 UTC",17984056,5872eb71421aa90ceab0bb2f,850
2022-09-30,1657995,"Apparel, Footwear & Accessories","2022-09-30 15:47:16.000000 UTC",17983887,5b871bbfe3d4600e8076cc5f,900
2022-09-30,1657995,"Apparel, Footwear & Accessories","2022-09-30 17:06:15.000000 UTC",17984287,62e329abff03c2000d83079d,1111
2022-10-07,1662632,"Apparel, Footwear & Accessories","2022-10-04 20:48:08.000000 UTC",18013742,62e329abff03c2000d83079d,222
2022-10-07,1662632,"Apparel, Footwear & Accessories","2022-10-07 03:06:51.000000 UTC",18045437,60f9ad9cc8ce886da7e41b40,301
2022-10-07,1662632,"Apparel, Footwear & Accessories","2022-10-07 04:13:45.000000 UTC",18045660,62a227deff03c2000b28e506,360
2022-10-07,1662632,"Apparel, Footwear & Accessories","2022-10-05 14:26:01.000000 UTC",18017834,5b871bbfe3d4600e8076cc5f,500
2022-10-07,1662632,"Apparel, Footwear & Accessories","2022-10-07 05:37:07.000000 UTC",18045880,62de2eb5ff03c2000f137373,501
2022-10-07,1662632,"Apparel, Footwear & Accessories","2022-10-07 16:55:24.000000 UTC",18047802,62a227deff03c2000b28e506,600
2022-10-07,1662632,"Apparel, Footwear & Accessories","2022-10-07 05:37:26.000000 UTC",18045881,62de2eb5ff03c2000f137373,605
2022-10-07,1662632,"Apparel, Footwear & Accessories","2022-10-07 16:55:38.000000 UTC",18047805,62a227deff03c2000b28e506,650
2022-10-07,1662632,"Apparel, Footwear & Accessories","2022-10-07 16:56:27.000000 UTC",18047814,62e329abff03c2000d83079d,777
2022-10-07,1662632,"Apparel, Footwear & Accessories","2022-10-07 16:58:54.000000 UTC",18047843,5e9bf479c8ce886c85a237b9,800
2022-10-07,1662632,"Apparel, Footwear & Accessories","2022-10-07 16:59:15.000000 UTC",18047846,62a227deff03c2000b28e506,1000
2022-10-07,1662632,"Apparel, Footwear & Accessories","2022-10-07 17:01:01.000000 UTC",18047866,62e329abff03c2000d83079d,1022
